Año,Gini
1998,0.7624744674642544
1999,0.7272006344171292
2000,0.8031347962382445
2001,0.7704761904761904
2002,0.7454036770583533
2003,0.7718015665796345
2004,0.7881313131313131
2005,0.7910828025477707
2006,0.7726153846153846
2007,0.7799660441426146
2008,0.7614035087719299
2009,0.29830073308334176
2011,0.3098959142457667
2012,0.3379594236989121
2013,0.28310097169412757
2014,0.3038264988159043
