Año,F,M
1998,47,245
1999,22,73
2000,69,246
2001,67,229
2002,53,221
2003,83,296
2004,68,289
2005,58,252
2006,61,261
2007,63,244
2008,66,249
2009,59,236
2010,66,205
2011,69,240
2012,53,229
2013,46,211
2014,64,288
