Año,F,M
1998,5,31
1999,10,56
2001,12,42
2002,5,47
2003,8,50
2004,6,65
2005,5,56
2006,10,72
2007,15,72
2008,17,81
2009,15,64
2010,11,77
2011,14,69
2012,13,88
2013,17,69
2014,13,106
